20 # total generations
20 # population p1
20 # population p2
0.204396 0.25654 0.77911 20
0.198638 0.22889 0.755868 20
0.232154 0.231206 0.744968 20
0.197451 0.229418 0.744581 20
0.201065 0.221607 0.735666 20
0.222866 0.216187 0.70554 20
0.234225 0.249989 0.701095 20
0.228425 0.25961 0.698527 20
0.234776 0.250921 0.691962 20
0.206372 0.275509 0.691048 20
0.197192 0.289201 0 20
0.256622 0.207349 0 20
0.213401 0.235102 0 20
0.207937 0.278518 0 20
0.228869 0.254064 0 20
0.20779 0.297457 0 20
0.221428 0.278696 0 20
0.202765 0.276594 0 20
0.218978 0.220782 0 20
0.228021 0.219955 0 20
0.20357 0.21293 0.916386 40
0.205478 0.225219 0.909241 40
0.205437 0.215233 0.903632 40
0.207964 0.230433 0.876307 40
0.210204 0.224473 0.856958 40
0.209521 0.231491 0.855507 40
0.196392 0.245834 0.847963 40
0.214563 0.235125 0.782059 40
0.217761 0.219453 0.767478 40
0.215977 0.207184 0.76316 40
0.229621 0.204071 0 40
0.194534 0.236663 0 40
0.235169 0.248263 0 40
0.215404 0.236724 0 40
0.172336 0.263894 0 40
0.195936 0.240128 0 40
0.222099 0.21747 0 40
0.213403 0.240966 0 40
0.212542 0.258378 0 40
0.254571 0.207388 0 40
